name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
act100k_pair,1,red,left,put the red block in the left bowl,0,no_reach,45.4,hovers on the right side near red bowl in the middle of the mat and twitches,2026-09-09T20:37:10,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,2,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.5,"missed initial grasp and pushed block further away, never recovered",2026-09-09T20:38:18,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,3,red,left,put the red block in the left bowl,0,no_reach,44.4,hovers on the right side near red bowl and twitches,2026-09-09T20:39:18,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,4,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.5,"touched graps but missed initial grip, hovered over bowl empty but nevr recovered for second grip",2026-09-09T20:40:28,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,5,red,left,put the red block in the left bowl,0,touch_no_grip,44.6,touched block but missed grip,2026-09-09T20:41:39,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,6,blue,right,put the blue block in the right bowl,0,no_reach,44.4,hovers over middle of mat and never grips,2026-09-09T20:42:39,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,7,red,left,put the red block in the left bowl,0,touch_no_grip,44.7,"approached block from straight up, pushed block out of mat with misapplied pressure",2026-09-09T20:44:02,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,8,blue,right,put the blue block in the right bowl,0,no_reach,44.6,close to block but keeps missing grip with offset,2026-09-09T20:45:04,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,9,red,left,put the red block in the left bowl,1,,44.5,"barely grips edge of block, barely clears edge of bowl but successfully drops in",2026-09-09T20:46:03,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,10,blue,right,put the blue block in the right bowl,0,no_reach,44.4,"gravitates towards and gets stuck on right side of mat, never touches block",2026-09-09T20:47:24,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,11,red,left,put the red block in the left bowl,0,touch_no_grip,44.3,hovers around block but never grips properly,2026-09-09T20:48:22,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,12,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.3,"touches block, very close but positioning slightly off resulting in no grip",2026-09-09T20:49:26,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,13,red,left,put the red block in the left bowl,0,touch_no_grip,44.7,"very close but unable to grip block, touched a few times",2026-09-09T20:50:25,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,14,blue,right,put the blue block in the right bowl,1,,44.4,"missed initial grip, repositioned and regripped before dropping in bowl",2026-09-09T20:51:24,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,15,red,left,put the red block in the left bowl,1,,44.5,gripped block around edges but picked up successfully,2026-09-09T20:52:26,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,16,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.3,"pushed away a few times, unable to grip properly",2026-09-09T20:53:23,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,17,red,left,put the red block in the left bowl,1,,44.2,block was close to default position but pretty clean pickup,2026-09-09T20:54:24,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,44.2,"hovers over center of mat and twitches, never approaches block",2026-09-09T20:55:27,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,19,red,left,put the red block in the left bowl,0,drop,44.3,"picks up block but does not move high enough to clear edge of bowl, pushes bowl sideways and drops block outside of bowl",2026-09-09T20:56:45,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
act100k_pair,20,blue,right,put the blue block in the right bowl,0,touch_no_grip,44.8,touches block but struggles to pick up properly,2026-09-09T20:57:45,experiments/checkpoints/act_so101_blocks_100000_ep0-49_100-149,local
