name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
smolvla100_pair,1,red,left,put the red block in the left bowl,0,touch_no_grip,61.8,"touched block but missed grip. kept trying, obviously better than act, but no recovery. very clear that it's executing chunks at a time without refreshing based on real time information",2026-09-09T10:51:31,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,2,blue,right,put the blue block in the right bowl,1,,60.0,"Missed grip initially, solid recovery as it returned to pick it up a second time and placed in bowl",2026-09-09T10:53:04,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,3,red,left,put the red block in the left bowl,0,touch_no_grip,59.7,"on the edge of the gripper's reach, didn't fully extend and struggled to place grippers around block properly",2026-09-09T10:54:38,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,4,blue,right,put the blue block in the right bowl,0,touch_no_grip,59.5,"missed initial grip. interesting because it seems like the arm was blocking the overhead camera, it wasn't until the arm reeset that it realized it hadn't picked up the grip and tried again but timed out",2026-09-09T10:56:18,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,5,red,left,put the red block in the left bowl,1,,59.9,"barely grips on to cube on the edge but completes successfully. did not grasp on first try, fiddled with grip a bit",2026-09-09T10:59:02,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,6,blue,right,put the blue block in the right bowl,1,,59.6,"clean one shot, grips first try",2026-09-09T11:06:28,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,7,red,left,put the red block in the left bowl,0,touch_no_grip,62.0,"misses grip first time, struggles to correct. tricky position since close to right bowl",2026-09-09T11:07:59,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,8,blue,right,put the blue block in the right bowl,0,timeout,60.8,"struggled to grip and returned to baseline. once returned to base, realized it hadn't picked it up and the second time it did pick it up first try but timed out before it could put into bowl",2026-09-09T11:09:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,9,red,left,put the red block in the left bowl,0,no_reach,59.7,"struggles to pick up block, twitches and tries to grip at some offset to block but never touches",2026-09-09T11:11:24,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,10,blue,right,put the blue block in the right bowl,1,,60.6,grabs first try pretty clean one shot,2026-09-09T11:12:42,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,11,red,left,put the red block in the left bowl,0,touch_no_grip,61.0,missed grip. this run the arm also spent a lot of time buffering at base position so it didn't have a chance to try to readjust,2026-09-09T11:14:34,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,12,blue,right,put the blue block in the right bowl,1,,60.3,"pretty clean one shot; gripped the block along its edges, one of the harder grasps, still a clean success",2026-09-09T11:16:01,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,13,red,left,put the red block in the left bowl,1,,59.7,"straight forward one shot success, picked up first try",2026-09-09T11:18:02,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,14,blue,right,put the blue block in the right bowl,0,other,60.2,"tried to grip block along edges again, applied pressure in an imbalanced way and block shot off the table out of bounds so it couldn't have recovered",2026-09-09T11:20:10,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,15,red,left,put the red block in the left bowl,0,no_reach,59.4,Grip buffers at some offset to block as it tries to pick it up,2026-09-09T11:22:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,16,blue,right,put the blue block in the right bowl,1,,61.0,straight forward picked up first try,2026-09-09T11:24:22,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,17,red,left,put the red block in the left bowl,0,touch_no_grip,60.9,"missed initial grip then struggled to recover, grip flickers at some offset to block",2026-09-09T11:25:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,59.5,tries to grip at some offset to block,2026-09-09T11:27:16,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,19,red,left,put the red block in the left bowl,1,,64.8,gripper pushes block slightly but recovers and grasps second try,2026-09-09T11:28:35,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_pair,20,blue,right,put the blue block in the right bowl,1,,61.4,grasps first try after some tinkering,2026-09-09T11:30:23,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
