name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
pi05_all4,1,red,left,put the red block in the left bowl,0,no_reach,172.4,attempts to grip repeatedly at offset to block,2026-09-12T16:38:15,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,2,blue,right,put the blue block in the right bowl,0,touch_no_grip,69.7,"touched block but struggled to position grippers precisely for grip, recoveries unsuccessful",2026-09-12T16:39:52,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,3,red,right,put the red block in the right bowl,0,no_reach,69.7,"reaches out towards middle of mat at offset to block, no grip",2026-09-12T16:41:30,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,4,blue,left,put the blue block in the left bowl,0,no_reach,71.7,attempts to grip around vicinity of block but not close enough,2026-09-12T16:43:10,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,5,red,left,put the red block in the left bowl,0,touch_no_grip,70.0,touches block but no fine adjustments to position gripper properly,2026-09-12T16:44:38,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,6,blue,right,put the blue block in the right bowl,0,touch_no_grip,74.0,touched block but gripper adjustment not fine enough to position correctly for grip,2026-09-12T16:47:00,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,7,red,right,put the red block in the right bowl,0,touch_no_grip,68.2,"touched block multiple times, struggled with last mile gripper positioning to pick up",2026-09-12T16:48:35,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,8,blue,left,put the blue block in the left bowl,0,no_reach,72.9,reaches towards center of mat at offset to block and attempts to grip,2026-09-12T16:50:13,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,9,red,left,put the red block in the left bowl,1,,71.1,"takes some time to position gripper, grips correctly, almost drops block outside of bowl but releases grip right on the edge of the bowl",2026-09-12T16:52:00,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,10,blue,right,put the blue block in the right bowl,0,touch_no_grip,128.8,touches block multiple times but gripper not positioned correctly,2026-09-12T16:54:27,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,11,red,right,put the red block in the right bowl,0,touch_no_grip,74.4,touches block multiple times but gripper not positioned correctly,2026-09-12T16:56:15,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,12,blue,left,put the blue block in the left bowl,0,no_reach,74.4,attempts to grip at offset to block,2026-09-12T16:57:46,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,13,red,left,put the red block in the left bowl,0,touch_no_grip,73.3,touches block but gripper not positioned properly to close,2026-09-12T16:59:31,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,14,blue,right,put the blue block in the right bowl,0,touch_no_grip,74.8,"touches block but positioned incorrectly, keeps pushing block and ends up outside of mat",2026-09-12T17:02:41,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,15,red,right,put the red block in the right bowl,0,touch_no_grip,75.0,very close to block but gripper not adjusted properly for pickup,2026-09-12T17:04:38,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,16,blue,left,put the blue block in the left bowl,0,touch_no_grip,74.3,touches and very close to block but grippers not adjusted correctly to close,2026-09-12T17:06:13,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,17,red,left,put the red block in the left bowl,0,touch_no_grip,74.6,"touches block but not finely positioned enough, moving arm pushes block outside of block",2026-09-12T17:07:52,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,18,blue,right,put the blue block in the right bowl,0,touch_no_grip,78.0,touches block but grippers not posiitoned to close,2026-09-12T17:09:40,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,19,red,right,put the red block in the right bowl,1,,74.1,struggled a bit to pick up block but happened to close and move arm down at the same time such that block was picked up,2026-09-12T17:11:12,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_all4,20,blue,left,put the blue block in the left bowl,0,touch_no_grip,74.8,touches block ontop but gripper not positioned to pick up properly,2026-09-12T17:12:56,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
