name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
smolvla100_all4,1,red,left,put the red block in the left bowl,1,,63.8,"good attempt, grasped first try, moved into correct bowl",2026-09-09T22:06:55,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,2,blue,right,put the blue block in the right bowl,1,,62.7,"grasped first try albeit along a slim corner, dropped into correct bowl",2026-09-09T22:08:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,3,red,right,put the red block in the right bowl,0,no_reach,63.7,failed to reach or grip block on edge of mat,2026-09-09T22:14:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,4,blue,left,put the blue block in the left bowl,1,,63.2,"solid run, picked up block first try and deposited into correct bowl",2026-09-09T22:16:04,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,5,red,left,put the red block in the left bowl,1,,63.2,"initially missed grip, recovered second attempt and dropped into correct bowl",2026-09-09T22:17:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,6,blue,right,put the blue block in the right bowl,1,,63.4,successful first grip and deposited into correct bowl,2026-09-09T22:19:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,7,red,right,put the red block in the right bowl,1,,64.0,successful grip first try and deposited into correct bowl,2026-09-09T22:20:55,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,8,blue,left,put the blue block in the left bowl,0,no_reach,62.7,Hovers just above block and gripper twitches. Block is at far edge of mat,2026-09-09T22:22:28,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,9,red,left,put the red block in the left bowl,0,touch_no_grip,62.7,"far edge of gripper touches block but offset and not positioned correctly, gripper flickers but never grasps",2026-09-09T22:25:15,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,10,blue,right,put the blue block in the right bowl,1,,62.9,pickup was clean and dropped into correct bowl,2026-09-09T22:26:39,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,11,red,right,put the red block in the right bowl,0,touch_no_grip,62.7,touches block but struggles to position correctly for grip,2026-09-09T22:28:18,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,12,blue,left,put the blue block in the left bowl,1,,61.9,picked up first try and placed into bowl,2026-09-09T22:33:21,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,13,red,left,put the red block in the left bowl,1,,61.7,gripped first try and dropped into correct bowl,2026-09-09T22:34:37,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,14,blue,right,put the blue block in the right bowl,1,,61.3,"picked up first try, correct bowl",2026-09-09T22:36:12,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,15,red,right,put the red block in the right bowl,0,touch_no_grip,62.0,"missed initial grip, incremental adjustments were insufficient",2026-09-09T22:37:40,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,16,blue,left,put the blue block in the left bowl,0,touch_no_grip,61.5,"initial grip fails, pushes block away, gripper keeps trying to close at some offset to block and never recovers",2026-09-09T22:39:14,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,17,red,left,put the red block in the left bowl,0,no_reach,60.7,"gripper moves to some offset to block, grippers twitch but not oriented correctly",2026-09-09T22:40:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,18,blue,right,put the blue block in the right bowl,0,no_reach,63.9,"gripper misses original grip, then returns to some offset to block and continues attempting to grip",2026-09-09T22:42:14,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,19,red,right,put the red block in the right bowl,0,touch_no_grip,62.2,"misses first grip due to off angle block positioning, attempts again 2-3 times but does not grip",2026-09-09T22:43:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,20,blue,left,put the blue block in the left bowl,0,drop,62.0,"gripped block, released too early and dropped just short of bowl, attempted to recover at some offset to block and never gripped again",2026-09-09T22:45:15,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
