name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
smolvla100_rtc_pair,1,red,left,put the red block in the left bowl,0,touch_no_grip,54.5,"motino seems smoother but more repeated motions, touched block but didn't really adjust positioning to grip properly",2026-09-11T18:31:35,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,2,blue,right,put the blue block in the right bowl,1,,54.1,grasped successfully with slight fumbling and deposited into bowl,2026-09-11T18:33:23,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,3,red,left,put the red block in the left bowl,0,no_reach,53.9,reaches out at offset to block towards right side of mat (pink bowl) and grasps nothing,2026-09-11T18:35:25,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,4,blue,right,put the blue block in the right bowl,0,touch_no_grip,54.8,"touched but a lot of back and forth movement, struggled to keep grip closed around block and pick up",2026-09-11T18:37:31,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,5,red,left,put the red block in the left bowl,0,touch_no_grip,54.8,"close to block but struggled to adjust to grip, a lot of gripper open/close back and forth movements",2026-09-11T18:38:57,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,6,blue,right,put the blue block in the right bowl,0,touch_no_grip,54.0,"touched block but struggled to pick up, a lot of back and forth movements and gripper opening/closing",2026-09-11T18:40:07,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,7,red,left,put the red block in the left bowl,0,touch_no_grip,53.8,"touched block but unable to position correctly for grip, a lot of gripper opening/closing and moving back and forth",2026-09-11T18:41:46,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,8,blue,right,put the blue block in the right bowl,0,touch_no_grip,53.5,"touches block but unable to position correctly for grip, gripper opens/closes and arm fumbles around",2026-09-11T18:43:04,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,9,red,left,put the red block in the left bowl,0,touch_no_grip,53.9,"touches block but back and forth motions push block to edge of mat, not positioned properly to grip",2026-09-11T18:44:20,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,10,blue,right,put the blue block in the right bowl,0,no_reach,53.6,"a lot of jerky back and forth movements around center of mat (albeit no pauses), never reaches block",2026-09-11T18:46:15,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,11,red,left,put the red block in the left bowl,0,touch_no_grip,54.1,touches block but not oriented correctly to grip,2026-09-11T18:49:48,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,12,blue,right,put the blue block in the right bowl,0,drop,53.7,initially gripped but the jerky back and forth RTC movements caused it to open grip again,2026-09-11T18:52:03,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,13,red,left,put the red block in the left bowl,0,touch_no_grip,52.9,touches block and attempts to grasp but struggles with fine adjustments,2026-09-11T18:53:32,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,14,blue,right,put the blue block in the right bowl,1,,53.8,"initial grasp was successful, almost opened too early and dropped block outside of bowl but landed in bowl",2026-09-11T18:55:09,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,15,red,left,put the red block in the left bowl,1,,54.2,picked up block but initially struggled to position grippers since block kept getting pushed away,2026-09-11T18:56:33,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,16,blue,right,put the blue block in the right bowl,0,touch_no_grip,53.4,touches block and very close to gripping but it's like it's trying to pull away just before it's fully gripped,2026-09-11T18:57:45,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,17,red,left,put the red block in the left bowl,0,no_reach,56.9,"gripped positioned at offset to block, tries to grip",2026-09-11T18:59:34,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,53.6,arm at offset to block and never grips,2026-09-11T19:01:26,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,19,red,left,put the red block in the left bowl,0,touch_no_grip,53.4,touches block but grippers never positioned properly to pick up block,2026-09-11T19:03:14,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
smolvla100_rtc_pair,20,blue,right,put the blue block in the right bowl,0,drop,52.8,picked up block but jerky back and forth caused arm to drop,2026-09-11T19:04:30,experiments/checkpoints/smolvla_so101_blocks_n100_s0,rtc
