job,step,loss,grad_norm,lr,l1_loss,kld_loss
act_so101_blocks_20000_ep0-49,100,9.936,204.956,1.0e-05,0.718,0.922
act_so101_blocks_20000_ep0-49,200,3.920,107.885,1.0e-05,0.609,0.331
act_so101_blocks_20000_ep0-49,300,3.250,92.143,1.0e-05,0.561,0.269
act_so101_blocks_20000_ep0-49,400,2.905,84.503,1.0e-05,0.514,0.239
act_so101_blocks_20000_ep0-49,500,2.654,79.622,1.0e-05,0.475,0.218
act_so101_blocks_20000_ep0-49,600,2.483,75.743,1.0e-05,0.461,0.202
act_so101_blocks_20000_ep0-49,700,2.347,70.142,1.0e-05,0.477,0.187
act_so101_blocks_20000_ep0-49,800,2.252,70.242,1.0e-05,0.457,0.180
act_so101_blocks_20000_ep0-49,900,2.167,66.677,1.0e-05,0.452,0.172
act_so101_blocks_20000_ep0-49,1000,2.058,64.969,1.0e-05,0.446,0.161
act_so101_blocks_20000_ep0-49,1100,1.906,60.987,1.0e-05,0.429,0.148
act_so101_blocks_20000_ep0-49,1200,1.852,60.666,1.0e-05,0.430,0.142
act_so101_blocks_20000_ep0-49,1300,1.739,58.096,1.0e-05,0.408,0.133
act_so101_blocks_20000_ep0-49,1400,1.694,58.243,1.0e-05,0.399,0.130
act_so101_blocks_20000_ep0-49,1500,1.636,56.639,1.0e-05,0.402,0.123
act_so101_blocks_20000_ep0-49,1600,1.567,55.118,1.0e-05,0.408,0.116
act_so101_blocks_20000_ep0-49,1700,1.475,52.914,1.0e-05,0.388,0.109
act_so101_blocks_20000_ep0-49,1800,1.416,52.964,1.0e-05,0.384,0.103
act_so101_blocks_20000_ep0-49,1900,1.362,51.476,1.0e-05,0.378,0.098
act_so101_blocks_20000_ep0-49,2000,1.304,51.528,1.0e-05,0.365,0.094
act_so101_blocks_20000_ep0-49,2100,1.254,49.503,1.0e-05,0.370,0.088
act_so101_blocks_20000_ep0-49,2200,1.192,48.016,1.0e-05,0.352,0.084
act_so101_blocks_20000_ep0-49,2300,1.141,46.465,1.0e-05,0.349,0.079
act_so101_blocks_20000_ep0-49,2400,1.076,45.019,1.0e-05,0.339,0.074
act_so101_blocks_20000_ep0-49,2500,1.030,44.041,1.0e-05,0.339,0.069
act_so101_blocks_20000_ep0-49,2600,1.003,42.255,1.0e-05,0.343,0.066
act_so101_blocks_20000_ep0-49,2700,0.964,42.510,1.0e-05,0.338,0.063
act_so101_blocks_20000_ep0-49,2800,0.927,42.163,1.0e-05,0.332,0.060
act_so101_blocks_20000_ep0-49,2900,0.879,39.623,1.0e-05,0.324,0.055
act_so101_blocks_20000_ep0-49,3000,0.834,38.385,1.0e-05,0.316,0.052
act_so101_blocks_20000_ep0-49,3100,0.793,37.857,1.0e-05,0.307,0.049
act_so101_blocks_20000_ep0-49,3200,0.776,37.330,1.0e-05,0.314,0.046
act_so101_blocks_20000_ep0-49,3300,0.747,36.494,1.0e-05,0.306,0.044
act_so101_blocks_20000_ep0-49,3400,0.715,35.968,1.0e-05,0.301,0.041
act_so101_blocks_20000_ep0-49,3500,0.692,34.985,1.0e-05,0.302,0.039
act_so101_blocks_20000_ep0-49,3600,0.663,34.285,1.0e-05,0.290,0.037
act_so101_blocks_20000_ep0-49,3700,0.634,32.982,1.0e-05,0.290,0.034
act_so101_blocks_20000_ep0-49,3800,0.631,32.746,1.0e-05,0.294,0.034
act_so101_blocks_20000_ep0-49,3900,0.604,31.543,1.0e-05,0.293,0.031
act_so101_blocks_20000_ep0-49,4000,0.577,31.315,1.0e-05,0.276,0.030
act_so101_blocks_20000_ep0-49,4100,0.565,30.584,1.0e-05,0.284,0.028
act_so101_blocks_20000_ep0-49,4200,0.545,30.031,1.0e-05,0.271,0.027
act_so101_blocks_20000_ep0-49,4300,0.532,29.828,1.0e-05,0.278,0.025
act_so101_blocks_20000_ep0-49,4400,0.518,27.929,1.0e-05,0.277,0.024
act_so101_blocks_20000_ep0-49,4500,0.517,28.494,1.0e-05,0.283,0.023
act_so101_blocks_20000_ep0-49,4600,0.498,27.140,1.0e-05,0.280,0.022
act_so101_blocks_20000_ep0-49,4700,0.483,27.534,1.0e-05,0.271,0.021
act_so101_blocks_20000_ep0-49,4800,0.468,27.112,1.0e-05,0.267,0.020
act_so101_blocks_20000_ep0-49,4900,0.456,26.052,1.0e-05,0.266,0.019
act_so101_blocks_20000_ep0-49,5000,0.447,25.693,1.0e-05,0.267,0.018
act_so101_blocks_20000_ep0-49,5100,0.435,25.191,1.0e-05,0.260,0.018
act_so101_blocks_20000_ep0-49,5200,0.443,26.183,1.0e-05,0.272,0.017
act_so101_blocks_20000_ep0-49,5300,0.431,25.052,1.0e-05,0.269,0.016
act_so101_blocks_20000_ep0-49,5400,0.414,24.445,1.0e-05,0.258,0.016
act_so101_blocks_20000_ep0-49,5500,0.413,24.452,1.0e-05,0.261,0.015
act_so101_blocks_20000_ep0-49,5600,0.392,24.019,1.0e-05,0.247,0.014
act_so101_blocks_20000_ep0-49,5700,0.388,24.141,1.0e-05,0.245,0.014
act_so101_blocks_20000_ep0-49,5800,0.393,23.010,1.0e-05,0.258,0.013
act_so101_blocks_20000_ep0-49,5900,0.393,23.434,1.0e-05,0.263,0.013
act_so101_blocks_20000_ep0-49,6000,0.377,23.009,1.0e-05,0.252,0.013
act_so101_blocks_20000_ep0-49,6100,0.376,21.889,1.0e-05,0.255,0.012
act_so101_blocks_20000_ep0-49,6200,0.368,22.337,1.0e-05,0.248,0.012
act_so101_blocks_20000_ep0-49,6300,0.361,21.981,1.0e-05,0.244,0.012
act_so101_blocks_20000_ep0-49,6400,0.350,21.635,1.0e-05,0.241,0.011
act_so101_blocks_20000_ep0-49,6500,0.354,21.502,1.0e-05,0.247,0.011
act_so101_blocks_20000_ep0-49,6600,0.347,21.855,1.0e-05,0.238,0.011
act_so101_blocks_20000_ep0-49,6700,0.339,20.861,1.0e-05,0.237,0.010
act_so101_blocks_20000_ep0-49,6800,0.338,21.218,1.0e-05,0.239,0.010
act_so101_blocks_20000_ep0-49,6900,0.327,20.130,1.0e-05,0.230,0.010
act_so101_blocks_20000_ep0-49,7000,0.328,20.808,1.0e-05,0.233,0.009
act_so101_blocks_20000_ep0-49,7100,0.325,19.975,1.0e-05,0.234,0.009
act_so101_blocks_20000_ep0-49,7200,0.314,19.602,1.0e-05,0.225,0.009
act_so101_blocks_20000_ep0-49,7300,0.317,19.973,1.0e-05,0.231,0.009
act_so101_blocks_20000_ep0-49,7400,0.309,19.738,1.0e-05,0.227,0.008
act_so101_blocks_20000_ep0-49,7500,0.300,19.437,1.0e-05,0.219,0.008
act_so101_blocks_20000_ep0-49,7600,0.315,19.447,1.0e-05,0.235,0.008
act_so101_blocks_20000_ep0-49,7700,0.308,19.626,1.0e-05,0.226,0.008
act_so101_blocks_20000_ep0-49,7800,0.300,18.802,1.0e-05,0.225,0.008
act_so101_blocks_20000_ep0-49,7900,0.299,18.374,1.0e-05,0.225,0.007
act_so101_blocks_20000_ep0-49,8000,0.291,18.965,1.0e-05,0.216,0.008
